text,label
"không biết thầy nào dạy chính thức , mà học thường nghỉ không thông báo trước để sinh viên đứng chờ sắp hết tiết rồi tự về nhiều lần .",Negative
cần có sự tương tác giữa giảng viên và sinh viên nhiều hơn .,Negative
giảng viên thân thiện nhiệt tình cởi mở .,Positive
"giáo viên có mời các công ty về trình bày , giúp sinh viên cập nhật kiến thức thực tiễn .",Positive
coi lại thái độ giảng viên thực hành .,Negative
"giảng viên nhiệt tình , giải nhiều bài tập .",Positive
bài giảng của thầy rất nhiệt tình .,Positive
"môn học chưa thực tiễn , chưa thu hút sinh viên .",Negative
dạy hơi nhanh !,Negative
ít làm bài tập .,Negative
"giảng bài kém thu hút , vị trí đứng giảng không hợp lý , ôn tập cuối kỳ còn chưa tập trung vào vấn đề .",Negative
"giảng viên nhiệt tình , bài giảng thu hút .",Positive
"nhờ thầy và giảng viên lý thuyết , em đã hiểu rõ về môn này rất nhiều !",Positive
môn này khá trừu tượng nên mong thầy có nhiều liên tưởng tới thực tiễn hơn để chúng em có thể hiểu .,Negative
cần thêm nhiều tài liệu cho sinh viên .,Negative
bài tập trên lớp .,Neutral
tăng số tiết dạy lên để sinh viên có nhiều cơ hội hỏi đáp thắc mắc về môn học .,Negative
thầy nhiệt tình dễ hiểu .,Positive
thực hành và lý thuyết nên dạy song song .,Negative
giảng viên dạy nhanh .,Negative
bài tập trên lớp nên được giới thiệu ngay từ đầu tiết học để học sinh không tốn thời gian đọc đề cũng như có thể suy nghĩ cách giải cùng lúc với việc nghe giảng .,Negative
giảng viên cho bài tập hay .,Positive
cập nhật bài tập mới .,Negative
"lên lớp ai làm việc người ấy , thầy không có giảng gì thêm .",Negative
"tận tâm , nhiệt tình , quan tâm đến sinh viên .",Positive
phản hồi giải đáp thắc mắc cho sinh viên .,Positive
dạy quá nhanh .,Negative
mong ban thiết bị sớm khắc phục ạ !,Negative
môn này cần làm đề tài để áp dụng lý thuyết vào thực tiễn mà trên lớp chỉ học một đống lý thuyết và hiếm ai nhớ đa số khá buồn ngủ khi lên lớp .,Negative
"giảng viên nên đổi mới phương pháp giảng dạy , tránh thô cứng , không hấp dẫn sinh viên .",Negative
"nhiệt tình , tạo cách chủ động cho học sinh tiếp cận với môn học và tham gia các chương trình phong trào liên quan để nâng cao kỹ năng .",Positive
"cô dạy rất tận tình , dễ hiểu .",Positive
không đáp ứng được nhu cầu của sinh viên .,Negative
thầy rất nhiệt tình với chúng em và điều này làm em rất hài lòng .,Positive
cách giảng dạy của thầy rất hay và có phần dễ hiễu .,Positive
"nhiệt tình , dễ thương .",Positive
không hướng dẫn đồ án .,Negative
em xin đề nghị nhà trường nên bổ sung tài liệu về môn học và cập nhật nội dung .,Negative
"chép bài rất nhiều , lãng phí thời gian nghe giảng .",Negative
"em không học thầy wzjwz178 kỳ này , giáo viên thực hành có 2 người nên có lẽ daa nhầm .",Negative
đề thi môn dài sinh viên làm không đủ thời gian .,Negative
cho làm nhiều bài test .,Negative
theo em thì nên thi phòng máy nào có visual 2013 trở lên .,Negative
cần thêm nhiều tài liệu cho môn học .,Negative
thầy giảng dạy tốt .,Positive
mong thầy có thể hướng dẫn cách cụ thể nhất cho những bài khó .,Negative
thầy cần cho bài tập và hướng dẫn nhiều hơn .,Negative
"giáo viên lên lớp đúng giờ , giảng bài sôi động .",Positive
em thấy thầy chỉ giảng cho có .,Negative
cần xác định rõ mục đích môn học và cho sinh viên đề cương chi tiết môn học trước khi bắt đầu .,Negative
"thầy nói chuyện với sinh viên rất tự nhiên , chia sẻ kinh nghiệm thực tế .",Positive
dạy theo sát chương trình .,Positive
cung cấp thêm trang thiết bị phục vụ nhu cầu môn học .,Negative
đề nghị nâng cấp phòng lab khoa mạng .,Negative
"thầy giảng hay và tâm huyết , bài giảng có tính thực tiễn cao .",Positive
đi dạy đúng giờ .,Positive
"thầy cung cấp nhiều kiến thức mới , thầy dạy tận tâm và nhiệt tình !",Positive
có tăng thêm nhiều ví dụ để minh họa cho lý thuyết vì có nhiều phần lý thuyết rất trừu tượng .,Positive
các yêu cầu về đồ án môn học nên đươc đưa ra chính xác trước khi sinh viên bắt đầu thực hiện chia nhóm và làm đồ án .,Negative
"dạy dễ hiểu dễ tiếp thu , tập trung vài kiến thức trọng tâm .",Positive
"dạy chưa được kỹ lắm , điểm nên thoáng hơn .",Negative
chưa chuẩn bị kỹ bài giảng để có thể trả lời các thắc mắc của sinh viên trên lớp .,Negative
cô khá tận tâm cho học sinh .,Positive
"cần cải cách lại nội dung các bài thực hành , một số kiến nội dung trong bài thực hành đã trở nên lỗi thời .",Negative
giảng viên có khả năng truyền đạt kiến thức tốt .,Positive
cho làm nhiều bài tập .,Negative
nghiên cứu khoa học .,Neutral
"giáo viên dạy rất tận tâm , nhiệt tình .",Positive
thầy cô hướng dẫn đồ án hệ thống thông tin cần có thêm một vài buổi gặp mặt với sinh viên và đưa ra lịch cố định trên trường để sinh viên thắc mắc có thể lên hỏi trực tiếp !,Negative
chỉ thông báo trên lớp sẽ khó tránh sai sót .,Negative
cô viết ở góc bảng gần chổ bụt giảng khiến nhiều khi khó quan sát được ạ .,Negative
đề nghị lắp thêm quạt .,Negative
dạy kỹ .,Positive
bài tập cần đa dạng hơn .,Negative
nói rất nhỏ .,Negative
có lúc làm bài sai giáo viên nói làm hơi tự ái .,Negative
không sửa các bài tập thực hành .,Negative
em chưa hiểu rõ cách thức chấm điểm bài kiểm tra thực hành .,Negative
làm bài tập nhiều mặc dù không hiểu lắm .,Negative
thi thoảng nghỉ học không thông báo trên daa .,Negative
"thầy dạy dễ hiểu , tiết học dễ hiểu , sôi nổi .",Positive
"thầy giảng dạy nhiệt tình , truyền cảm .",Positive
"giảng dạy rất chi tiết , dễ hiểu và dễ tiếp thu .",Positive
truyền đạt những kiến thức tốt .,Positive
cô vui tính .,Positive
nếu có thì chỉ hướng dẫn bằng lý thuyết mà không làm bài tập mẫu cho sinh viên .,Negative
cô chưa có nhiều kênh bài tập cho sinh viên .,Negative
bạn nào khá thì có thể áp dụng công thức vào bài tập cả lớp chưa đến 30% còn thực sự hiểu môn học thì rất ít người hiểu .,Negative
thầy dạy hơi nhanh .,Negative
ít hướng dẫn sinh viên trong giờ thực hành .,Negative
không thực hành được buổi nào .,Negative
"thầy dạy phần lý thuyết hay , nắm bắt được khả năng của sinh viên .",Positive
"ví dụ đề tài của em là doubledot các nguyên lý cơ bản , bao gồm 7 nguyên tắc của bohm ( 1983 ) .",Neutral
"giáo viên nhiệt tình , dạy dễ hiểu , tận tình với sinh viên .",Positive
"tân tâm , nhiệt tình trong lớp lẫn bên ngoài .",Positive
thầy giảng dạy tận tâm nhiệt tình .,Positive
"thầy vui tính , giảng bài dễ hiểu , nhiệt tình .",Positive
thầy giáo dạy nhiệt tình .,Positive
"dạy dễ hiểu , gần gũi sinh viên .",Positive
"cô dạy rất nhiệt tình và tài liệu của cô rất cụ thể dễ hiểu , cô hướng dẫn rất tận tình .",Positive
mong thầy cố gắng trong các học kỳ sau .,Negative
cần đưa ra nhiều ví dụ minh họa hơn .,Negative
"giảng viên hoà đồng , vui vẻ , chỉ giảng tận tình sinh viên ham học hỏi .",Positive
giảng viên không dạy một tiết thực hành nào .,Negative
không !,Neutral
nên có sự thống nhất giữa các giảng viên bộ môn trong đề cương giảng dạy .,Negative
"có những phần kiến thức chỉ một nửa lớp được học nhưng giảng viên nghĩ là cả lớp đã học rồi nên chỉ overview , những sinh viên còn lại khó nắm được .",Negative
máy tính cập nhật nhanh hơn .,Negative
"vui , hòa đồng , nhiệt tình .",Positive
có giúp đỡ sinh viên học tập nghiên cứu .,Positive
"giảng viên tận tâm , nhiệt tình , ham học hỏi .",Positive
"tuy nhiên cô nên cân nhắc lại về số lượng yêu cầu đối với sinh viên để sinh viên không bị khớp vì quá nhiều dẫn đến làm qua loa cho có , như vậy thì kết quả lại không tốt .",Negative
"cô rất tận tâm , rất ok , em rất thích cách dạy và học của cô ( mặc dù hơi nhanh tí ) .",Positive
mong thầy và nhà trường xem xét lại những điều em vừa nói .,Negative
"thầy tận tâm , nhiệt tình , tạo động lực cho sinh viên .",Positive
"thầy giáo tận tình , dạy kỹ , thường đưa ra câu hỏi để xem xét mức độ hiểu biết của sinh viên .",Positive
cần tăng cương trao đổi giữa sinh viên và giáo viên .,Negative
nói chung là nghe không bao giờ nghe rõ được .,Negative
cách truyền đạt của giáo viên chưa có sức hút đối với sinh viên nhiều cho lắm .,Negative
"cô giáo thân thiện dễ gần , thực hành nhiều .",Positive
chưa tiếp thu trọn vẹn .,Negative
cần cải tiến trang thiết thực hành .,Negative
giảng kỹ hơn .,Negative
còn hơi kéo thời gian .,Negative
có nhiều bài tập về nhà cơ bản lẫn nâng cao và giảng viên sửa bài đủ .,Positive
thầy rất hiền và kiên trì giảng dạy cho lớp mặc dù môn học này đối với em không được hứng thú lắm .,Negative
đôi lúc giảng bài hơi nhanh .,Negative
có một số buổi không đi dạy .,Negative
thầy nhiệt tình và dạy dễ hiểu .,Positive
"có kiến thức nền tảng này , sinh viên có thể học thêm bất kỳ công nghệ cụ thể nào đó dễ dàng , cũng như tiếp thu thay đổi công nghệ mới nhanh chóng .",Positive
"cấu trúc đề cương của thầy chưa rõ ràng , lý thuyết chưa được trình bày rõ trong các buổi học .",Negative
tài liệu hỗ trợ toàn tiếng anh rất khó học .,Negative
chưa nhận được gì từ môn học này .,Negative
"giảng viên không hề giảng dạy , chỉ đưa đề cương rồi thôi .",Negative
bài tập mỗi tuần đều có và đầy đủ .,Positive
em xin cảm ơn .,Positive
thầy cần phải cho sinh viên biết được học môn này có tác dụng gì và làm được gì khi học xong .,Negative
đề nghị tăng thời gian thưc hành .,Negative
không được làm những chuyện riêng trong lúc dạy thực hành .,Negative
hỗ trợ thêm giáo trình không phải slide cho sinh viên .,Negative
cô wzjwz259 rất vui và nhiệt tình .,Positive
"giáo viện nhiệt tình , tận tâm .",Positive
"kiến thức được giảng viên trình bày rõ ràng , dễ hiểu cho sinh viên .",Positive
cần thêm nhiều kit để thực hành .,Negative
dạy khó hiểu quá nhanh .,Negative
"luôn gần gũi , tham khảo ý kiến sinh viên và thống nhất cũng sinh viên .",Positive
sắp xếp lịch học bù chưa hợp lý .,Negative
"nhà trường nên đưa môn học này vào thời khóa biểu bắt buộc ở học kỳ 1 của các sinh viên năm nhất nhằm giúp các em nắm biết được mình nên học gì , mình có nên chuyển đổi ngành hay không .",Negative
thời gian thực hành cần nhiều hơn .,Negative
giảng viên rất nhiệt tình trong giảng dạy .,Positive
slide chuẩn bị chưa tốt .,Negative
thầy hay đòi hỏi sinh viên những điều hơi quá cao .,Negative
cô giảng hướng dẫn nhiệt tình .,Positive
"chúng em đã gặp khó khắn với khổ giấy nhỏ , mô hình thì lớn và phức tạp .",Negative
giảng quá nhiều không đánh vào trọng tâm .,Negative
"em không muốn nói gì nhưng mong thầy xem lại cách đánh giá sinh viên để công bằng hơn , cái sinh viên không biết không phải chỉ ở cúp tiết mà còn ở cách giảng dạy , truyền đạt ở giảng viên , ví dụ như cô wzjwz324 , rất dễ hiểu , tận tâm .",Negative
cô có nhiều hình thức giảng dạy hay .,Positive
hơi khó .,Negative
thầy đi trễ .,Negative
giảng tốt .,Positive
nói mở rộng nhiều vấn đề về môn học .,Positive
cần tăng cường nội dung nghe và nói để sinh viên giao tiếp tốt hơn bằng tiếng anh .,Negative
giảng viên tạo điều kiện làm nhiều bài tập .,Negative
hỗ trợ thêm về các thiết bị dạy và học .,Negative
ít giải bài tập trên lớp .,Negative
chia sẻ .,Neutral
bám sát nội dung chính .,Positive
cần thêm các đoạn code cho các giải thuật bổ sung các phương pháp để giải quyết các bài toán liệt kê .,Negative
thông tin đầy đủ về bài tập và các nguồn tham khảo .,Positive
"cô tận tâm , nhiệt tình , phương pháp dạy dễ hiểu .",Positive
"thầy giảng rất dễ hiểu và thú vị , thu hút .",Positive
hướng dẫn chi tiết về cách thực hành .,Positive
"giảng viên chỉ cho đồ án và giải đáp các yêu cầu đồ án , không cung cấp tài liệu hay hướng dẫn cơ bản , sinh viên tự tìm hiểu với lý do là hệ tài năng nên cần tự xoay sở .",Negative
"môn học toàn kiến thức mới mẻ , giảng viên nên giảng chi tiết hơn .",Negative
"đến khi cuối kỳ , chỉ cần sinh viên mắc một sai sót nhỏ thì sẽ rớt môn .",Negative
"cần thay đổi cách dạy và nội dung học của phần thực hành , các bài thực hành hiện tại của môn mạng máy tính chưa đảm bảo hiệu quả .",Negative
"thầy dạy hay , tận tình góp ý từng bài .",Positive
"cơ sở vật chất , phỏng máy không đủ phích cắm cho dụng cụ thực hành và số lượng sinh viên , máy còn tiềm ẩn nhiều virus .",Negative
"trên lớp lý thuyết giảng viên yêu cầu sinh viên phải thực hiện đồ án theo những gì mình hướng dẫn , những nhóm sinh viên bổ sung thêm những liên hệ thực tiễn đều bị cho là sai , không phù hợp với đồ án .",Negative
thầy giảng bài hay và hiệu quả !,Positive
giảng viên nhiệt tình vui vẻ .,Positive
phòng học nên có rèm che sáng để khi chiếu slide được nhìn rõ hơn .,Negative
"chương trình dạy lý thuyết và thực hành nên khớp với nhau hơn , tránh tình trạng thực hành trước khi học lý thuyết .",Negative
"thầy giảng dạy nhiệt tình , dễ hiểu .",Positive
mong giảng viên ngày càng chấn chỉnh việc dạy học để các khoá sau được hiểu tốt hơn .,Negative
"thầy dạy rất có tâm , và giảng cho sinh viên rất nhiều thứ !",Positive
"nội dung khảo sat quá dài , nhiều mục lặp đi lặp lại , nhiều bạn khảo sát mà không cần đọc , toàn tích chàn .",Negative
dạy tốt và rất nhiệt tình chỉ dạy hoc sinh .,Positive
"nhiệt tình , tân tâm .",Positive
"nhưng học mới thấy kiến thức thầy dạy rất hay , bám sát thực tế , thầy dạy rất nhiệt tình , vui vẻ , khác với mọi người nói .",Positive
bài tập rất hay .,Positive
thầy cô cần cho nhiều dạng bài tập sát với đề thi hơn .,Negative
"thầy giảng hay nhưng nên tự tin hơn , nói to hơn để học sinh hiểu bài một cách rõ ràng hơn .",Positive
"mong thầy vui tính , gần gũi với sinh viên hơn .",Positive
"giáo viên vui tính , hòa đồng , nhiệt tình .",Positive
cung cấp kiến thức trọng tâm .,Positive
cố gắng truyền đạt một cách tốt nhất để sinh viên được hiểu .,Positive
giọng của giảng viên nhỏ dù đã sử dụng micro .,Negative
"dù phương pháp học tập này khá hiệu quả nhưng vẫn có chút nào đó nghi ngờ từ phần thuyết trình của các bạn , liệu các kiến thức đó có chuẩn xác và cập nhật chưa .",Neutral
giáo viên có phong cách giảng dạy nghiêm túc .,Positive
"cô rất vui tính nà , không khí lớp lúc nào cũng vui hết , cô dạy rất hay , dễ hiểu !",Positive
"giảng viên giảng dạy rất tốt , thường xuyên cung cấp thêm nhiều kiến thức .",Positive
"thầy luôn nhiệt tình , có những chia sẻ rất gần gũi với sinh viên .",Positive
có khả năng truyền đạt tốt .,Positive
thậm chí còn không có bài nào khó bằng các bài trong nội dung của lớp chuyên tin ở các trường cấp 3 .,Negative
thầy dạy tận tụy và tâm huyết .,Positive
thầy nên có cách dạy mới cho môn học này để được kết quả tốt cho tất cả mọi người thay vì để rớt rất nhiều người !,Negative
lịch thi thực hành cần được thông báo sớm tới sinh viên và phù hợp với thời gian môn học .,Negative
cô nên giảng kỹ và chi tiết từng bài vì nhiều bài đa số các bạn chưa hiểu thì cô lại giảng nhanh để chuyển qua bài khác .,Negative
dạy tốt đúng trọng tâm những gì cần biết .,Positive
"nhiệt tình , lên lớp đúng giờ , dạy dễ hiểu .",Positive
"nếu em buồn ngủ , dù lên lớp em vẫn sẽ ngủ , mà ngủ ở trên lớp thì đau lưng và tê chân lắm .",Negative
cơ mà em học môn này em hiểu colonlove .,Positive
thiếu kinh nghiệm truyền đạt .,Negative
bài giảng thú vị .,Positive
em nghĩ nội dung thực hành nên gần với đồ án hơn .,Negative
thầy nhiệt huyết và giảng bao quát đề cập đến nhiều khía cạnh của bài học vấn đề .,Positive
giảng viên giảng bài kỹ .,Positive
"hệ thống đồ án chấm điểm theo mức độ hoàn thành của sinh viên , tạo sự ganh đua không hề nhẹ với những nhóm làm chung đồ án , kích thích sáng tạo không ngừng tìm hiểu xây dựng thêm chức năng mới cho đồ án nếu muốn được điểm cao .",Positive
"nhiệt tình , tâm huyết .",Positive
ít chú trọng phần ngữ pháp .,Negative
"giảng viên còn chưa tận tâm , phong cách giảng dạy chưa thu hút được sinh viên .",Negative
"giảng rất dễ hiểu , hướng dẫn làm thực hành tốt .",Positive
"thầy dạy rất nhiệt tình , khi dạy thầy luôn đi tới từng sinh viên để hướng dẫn .",Positive
giảng viên nhiệt tình trong giảng dạy và chấm điểm .,Positive
"cách truyền đạt kiến thức đối với em là rất hiệu quả , trao đổi bài với sinh viên , cô rất nhiệt tình !",Positive
"giảng dạy hay , dễ hiểu , tận tình .",Positive
"kiến thức rộng , kinh nghiệm thực tế nhiều , truyền cảm hứng cho sinh viên .",Positive
cách dạy sáng tạo .,Positive
giảng bài dễ tiếp thu .,Positive
em rất hài lòng với cô .,Positive
"thầy dạy dễ hiểu , sinh động .",Positive
cô chưa nắm bắt được thực trạng học của sinh viên .,Negative
ảnh hưởng đến tiến độ học tập và quỹ thời gian của sinh viên ( do học bù ) .,Negative
cô giảng bài dễ hiểu .,Positive
điều em hài lòng nhất đó là thầy đi rất đúng giờ và không dạy quá nhanh .,Positive
nên có giáo trình thống nhất cho tất cả các lớp và học kỳ học .,Negative
em nghĩ cần có các bài tập lớn để nâng cao khả năng lập trình của các sinh viên .,Negative
rất nhiệt tình với sinh viên .,Positive
"giảng viên có phương pháp giảng dạy hay , cập nhật , phù hợp với sinh viên .",Positive
giảng dạy tốt và có tâm .,Positive
dạy lý thuyết hơi nhiều .,Negative
giảng viên chấm bài quy chụp theo kết quả .,Neutral
"thời lượng môn học quá dài , sinh viên cảm thấy mệt mỏi .",Negative
giảng viên vui tính dễ tương tác với sinh viên .,Positive
"nhiệt tình hay giúp đỡ sinh viên khi không biết , cho nhiều bài tập .",Positive
"thầy cho điểm phần nào còn theo cảm tính , chưa được công bằng .",Negative
thầy giảng dạy rất nhiệt tình .,Positive
"thầy nhiệt tình , bài giảng phong phú đa dạng .",Positive
không có gì đặc biệt .,Neutral
"mỗi tháng chỉ gặp giảng viên một lần rất khó cho việc học hỏi , hướng dẫn từ giáo viên .",Negative
"thầy nên chuẩn bị riêng một slide cho mình để giảng dạy , không nên lấy slide của người khác rồi đến khi sơ sót , thầy lại lấy cái lý do "" đây không là slide của tôi "" , "" cái này tôi cũng không rõ nữa "" .",Negative
thầy cho làm các bài tập tại lớp trong khi sinh viên chưa biết gì về vấn đề đó .,Negative
đôi khi đi quá sâu vào một vấn đề bên lề .,Negative
"giảng viên dạy tận tâm , nhiệt tình , dễ hiểu .",Positive
cô thật nhiệt tình .,Positive
phòng thực hành tốt .,Positive
"nói chuyện lan man , không liên quan đến môn học quá nhiều .",Negative
giảng viên rất tận tâm .,Positive
phân bổ hợp lý thời gian học và nên cho xem nhiều video hơn là nghe .,Negative
"thầy bận nhiều nên cũng nghỉ nhiều , hi vọng thầy có thể sắp xếp thời gian .",Negative
giáo viên sử dụng giờ trên lớp hiệu quả .,Positive
"giáo viên tận tình , dạy truyền đạt tốt .",Positive
"giảng viên dạy tốt , nhiệt tình .",Positive
giảng viên tạo cảm hứng cho sinh viên học tập .,Positive
chán .,Negative
"thầy nhiệt tình , tận tâm giúp đỡ sinh viên .",Positive
"dạy quá chậm , quá cặn kẽ .",Negative
thầy wzjwz174 ít cho bài tập về nhà .,Negative
thầy đôi khi nói hơi khó hiểu .,Negative
"giảng viên tận tâm , nhiệt tình , hỗ trợ giải đáp thắc mắc môn học cho sinh viên .",Positive
"nên đi sâu vào vấn đề , giúp sinh viên hiểu tốt môn học , và nên có những ứng dụng cụ thể mà môn học đem lại .",Negative
